ID,po_ID,part_ID,orderedQty,receivedQty,unitPrice
3ede9840-934a-43b9-a5ae-d8ef622b46fb,28a79d26-7ffb-41fb-8523-1cd8a23dc5f8,e8a0cd7e-4ae2-41f2-a138-5626f31bc4df,174,174,191.78
56b035ff-3ce5-41fc-be3c-2bbf790888b8,72ca7572-2da2-4c1a-b236-a6bb52fda669,debc1375-1aa5-420b-b921-84e3a43ca39c,163,0,748.36
23a18990-457b-4458-a8e5-e35f72c97279,72ca7572-2da2-4c1a-b236-a6bb52fda669,25431261-a66a-47d4-a04a-d39cf259d212,99,81,44.62
f573ddd2-5067-4fdb-a1b3-e8e7e7c94c37,77ce02d8-953b-4a75-9a2c-2f6c3a317f80,efd0389e-7297-4b7b-bf52-5c8fb100928b,186,165,593.38
1942491e-c463-48b0-ac42-e33fac032ca5,89dc2d99-1f53-43f0-a2b9-2f0df5283782,7bc17843-0f25-49d9-9eb2-9afe1b5030c2,219,219,642.48
4d0bfad7-bfc9-48fb-aeae-32a369f97011,44f34bb9-a010-40b3-9186-848b9a57cfb2,f075bd52-f7ab-416e-b691-122e7efe58da,252,0,685.88
f259c707-6f04-42e5-afc7-970ec52f969c,edf47651-c783-4f93-895a-80edcd722ed4,534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,39,36,452.84
2b1a3268-e71f-4f21-bbd8-ad63db0b017b,e300a29b-65f8-4bdf-8dae-dd53224cc650,a752a8cb-1a42-448e-9f41-11467a428069,208,208,551.47
cf7e729e-aed7-46af-9219-8db35d785aa1,87fb4a6f-4adb-4b28-afe6-1d548d79e1c3,438aaddc-15d3-44ed-a047-97d9fba54bd6,240,240,617.27
cf001ee6-1f14-4490-9344-fddff7ef52fb,89dc2d99-1f53-43f0-a2b9-2f0df5283782,390632f6-1a4d-4528-9454-11af6a78fb67,107,107,514.47
3faae258-cdd1-46f3-bc20-2c3a21d4fe5a,5cf2133b-5717-44eb-882c-469989c269f1,ef511182-ecb5-4fb6-a75f-0ce934048e21,47,0,739.71
2d0294f1-9b8e-48c7-85f0-b264e82c9721,e300a29b-65f8-4bdf-8dae-dd53224cc650,bd2c74bd-cc0f-4112-8fa2-101d5e36febc,180,0,817.96
594fcd24-917a-446b-80d5-58877d404caa,41ec97c3-0c47-45e5-8a87-8e69d036bda9,ef511182-ecb5-4fb6-a75f-0ce934048e21,70,0,340.15
82ef9f7e-7f03-43f0-9879-d9c009a5ea11,89dc2d99-1f53-43f0-a2b9-2f0df5283782,35087f29-0497-45f7-a397-61ca16ef1319,132,132,455.93
ee8b23e6-dbe4-4427-8720-b07d3898eb26,28064021-ca4e-4b94-9283-7f621e06ec39,6263f51e-ad28-43b5-8893-45ebd945c089,193,193,750.98
0d957bc2-e754-47c4-ac1e-1ec8556588fa,c231d5be-f190-4aaa-8a97-b91792b570c3,ef511182-ecb5-4fb6-a75f-0ce934048e21,248,26,318.25
