ID,gr_ID,poItem_ID,receivedQty
acea7c4b-f5c7-480d-9106-ba5a8d789b2d,2f1a946a-8d1b-4515-87a1-1138f6163ba0,6a59571c-1b1e-4014-9593-867fdee268c7,44
e3832e76-89f5-4120-8fed-473c7ecfd03e,a0e4e769-826c-4307-976e-c48df2f2711b,fc5aec51-e6f0-441d-a59c-209d45469819,61
4f6fa787-a9d6-4d06-b6f7-172b5d60a901,005d07fc-3a1b-4852-8b3b-69f99121a3a9,91cf763a-6178-4ccf-bfdf-711a3cc6906c,60
46d85840-9cc6-437e-ba8f-a8fbf3768e28,f6a41cb1-9a6d-4430-8e1a-144eefc98d00,709313f2-d970-4757-87a4-40128ce9c0e4,73
d5219148-c650-4971-9bc8-d8fe970ca0dc,061c131e-da1a-4896-9530-bf7030ef87de,4ac0eee3-0d7b-4bfc-99ff-dad359f9cdbf,215
e62cc328-e870-4a3d-ae36-860f6f093a82,0d32f940-77b9-4876-8118-03dc9edb149b,cf7e729e-aed7-46af-9219-8db35d785aa1,295
e22731f8-c223-4e63-86d4-8c3ea5f08781,31db7875-e16c-4411-a295-b915848f7974,07174660-bd39-417d-ad0b-0bf8a98fc9b7,96
abfb8245-fbb3-4838-ab19-998d875866fa,550bbcc7-6bea-4f66-9cbf-abcfb9846191,a34bc50a-5013-4ba1-b1b2-afae9dba6903,89
3a5db849-693c-40a0-ab52-39636a433a54,022fe685-8284-4b7b-ac87-6d8b2e02c334,3faae258-cdd1-46f3-bc20-2c3a21d4fe5a,251
daf993fe-02b7-4875-9e78-a5d0b1ccb486,676afc81-a28e-4f1f-b141-f1bf6f0bba2c,cf7e729e-aed7-46af-9219-8db35d785aa1,96
0333d49f-dc10-41e2-b7c8-5e83b5868a46,e7cc0b39-a1ee-4716-87b9-350d843fae5a,e74620a2-37ab-47be-9dda-330fa74d4b96,28
c7b1b862-1e55-4d7d-badf-3e08bb89b859,611a6383-e88e-4769-aea5-87db14e5af6b,3ede9840-934a-43b9-a5ae-d8ef622b46fb,249
c66d3f77-49f1-492b-97e8-e0faef221017,a0e4e769-826c-4307-976e-c48df2f2711b,594fcd24-917a-446b-80d5-58877d404caa,197
68eeca85-31cc-4e13-a3d5-1475381864cc,022fe685-8284-4b7b-ac87-6d8b2e02c334,09cfe145-2447-49fe-8224-b1de4b97030c,254
b114150c-03e7-4b7e-9119-27ac67c44651,8d253a96-9da9-47a8-ae96-b9586c3ad546,87b9c028-10c9-44ab-b671-5c2bba391ff5,213
81922061-8447-46b8-9592-2620ee9f1f3e,9f610d62-cc34-4597-aeed-02e384780f65,87b9c028-10c9-44ab-b671-5c2bba391ff5,86
3db271d7-78b4-4431-9dfa-97e46b3889e2,c9387318-e77b-497d-8918-62944f235380,52f5f06c-e5ef-4521-8b96-48d28591c957,16
17901d7f-c06c-4705-ba09-036ce62f0f9b,c2c949c9-011a-4816-be60-55c1c4953d7f,ec19154a-379a-45ec-be77-313921d427c9,17
2e6dd260-5646-42db-84f3-dbe25983fd9e,17e8f937-d2d7-41b7-ab44-6f6eedcb4db5,ee8b23e6-dbe4-4427-8720-b07d3898eb26,276
278e15ef-c609-4134-9ba4-eae30e9402ef,676afc81-a28e-4f1f-b141-f1bf6f0bba2c,3faae258-cdd1-46f3-bc20-2c3a21d4fe5a,235
729cc83c-3283-4261-b1a0-9694eb322af8,12858c74-0747-4ae4-84cc-9e2186cbbd2e,87b9c028-10c9-44ab-b671-5c2bba391ff5,282
8f287f57-8c55-4b8b-bc54-281d7701d6a2,061c131e-da1a-4896-9530-bf7030ef87de,2b1a3268-e71f-4f21-bbd8-ad63db0b017b,294
d1c87de8-fac7-428a-bf81-693ce5757f50,5d87a92a-1eb9-4773-b381-82f4974ff4a8,864b2514-ca72-4c66-b1b0-1e561d76fe40,279
bf9c67a2-3d8e-4a48-9d18-9a8b3bd17158,5d368efc-20f9-4afd-bad1-ebac23590170,a34bc50a-5013-4ba1-b1b2-afae9dba6903,22
05377fe5-ea22-4f25-9e38-8ef375053aad,9f610d62-cc34-4597-aeed-02e384780f65,a34bc50a-5013-4ba1-b1b2-afae9dba6903,112
ae930885-c93c-4e1c-8094-5804c4d50aa8,357831e7-4973-47a1-923d-65d23d7710c8,f259c707-6f04-42e5-afc7-970ec52f969c,127
ff18cc6f-25de-4624-9208-46944e8d35aa,2f1a946a-8d1b-4515-87a1-1138f6163ba0,23a18990-457b-4458-a8e5-e35f72c97279,231
eee97897-438f-481c-a399-23a2571259b1,0ba10f36-49d5-47a0-9c12-afcf7b21e0f8,aee34ade-cdf9-471f-9818-8fabc5131001,45
27daad4a-0706-42f8-bf57-842833b0f47b,9f610d62-cc34-4597-aeed-02e384780f65,2b1a3268-e71f-4f21-bbd8-ad63db0b017b,122
3f66ed18-d08f-458d-821b-428878b3f0dc,dba4c6a0-2972-4f51-b870-b383f2aebf5f,07bb7ecc-2375-4f79-9e31-b77607606edc,180
49831239-7b1d-491a-ab36-1206ad9a0a96,8c006649-44ba-46b1-9d3e-45168410c624,07174660-bd39-417d-ad0b-0bf8a98fc9b7,85
23b0bca3-d363-4a6e-80d4-c4d7238c3cc7,8c006649-44ba-46b1-9d3e-45168410c624,cf7e729e-aed7-46af-9219-8db35d785aa1,106
22b7cf87-5189-4bc0-b8cf-66fa7a318dcc,dba4c6a0-2972-4f51-b870-b383f2aebf5f,f573ddd2-5067-4fdb-a1b3-e8e7e7c94c37,292
32f391ab-2870-4b77-8891-27c8e9bfeda4,611a6383-e88e-4769-aea5-87db14e5af6b,a34bc50a-5013-4ba1-b1b2-afae9dba6903,144
df7f3ca6-73be-4dcd-9c68-8f5c1b0a6e8a,0d32f940-77b9-4876-8118-03dc9edb149b,a34bc50a-5013-4ba1-b1b2-afae9dba6903,87
7c55d1a0-005b-4056-99a0-98eef33fdfa9,e7cc0b39-a1ee-4716-87b9-350d843fae5a,ec19154a-379a-45ec-be77-313921d427c9,149
39ab0bd0-c4a9-4901-be70-582c93ad5ae0,12858c74-0747-4ae4-84cc-9e2186cbbd2e,864b2514-ca72-4c66-b1b0-1e561d76fe40,264
ae7d4e8f-4816-4202-81c1-3491e6eb40a9,87d90258-6c7c-4aec-8833-c5fdae25cc24,cf7e729e-aed7-46af-9219-8db35d785aa1,211
ec8e75ff-e131-4765-8d56-bcff5d3ebf42,3bb24cb0-6e43-476f-a599-d53b8fa495a9,864b2514-ca72-4c66-b1b0-1e561d76fe40,65
a86c02a1-2fd6-419e-ad1f-76b2dceef91e,a0e4e769-826c-4307-976e-c48df2f2711b,0d957bc2-e754-47c4-ac1e-1ec8556588fa,75
