ID,partNumber,description,category,uom,unitPrice,reorderLevel,safetyStock,isActive,preferredSupplier_ID,createdAt,createdBy,modifiedAt,modifiedBy
ca839d07-3c3c-4181-812e-fb165d7f847a,MB-QI-85160,Electrical Candidate Kit,Cooling,EA,481.55,18,69,true,bf267091-b47c-42f6-b616-c84d68d7b981,2026-08-17T04:51:00Z,asharma,2026-08-17T04:51:00Z,lchen
315e2d57-5f6e-46c7-9b91-0cc9a8e00211,MB-OX-75496,Brake Box Bracket,Suspension,KG,96.34,6,49,false,2d8d45ab-3403-4be5-8a0e-cb6eb36975e0,2025-10-21T00:15:00Z,p.rossi,2025-10-21T00:15:00Z,asharma
97982bf8-f2bd-4c95-93b7-32dd79324367,MB-UN-37098,Electrical Do Assembly,Body,M,685.67,41,15,true,48c1838e-0ef1-4a4c-a31e-bca7b747bb66,2026-07-20T05:16:00Z,system,2026-07-20T05:16:00Z,p.rossi
355edc4b-7ed7-4d11-b7d2-a0c3dabc64cd,MB-IC-17461,Transmission Young Assembly,Filter,L,94.18,28,91,false,572f29ae-1ec4-4f46-8275-02c314223a70,2026-02-19T21:28:00Z,system,2026-02-19T21:28:00Z,asharma
01bcdde8-4496-4eb6-a00f-5285b11dfc91,MB-PI-04711,Body Central Pump,Cooling,L,373.06,42,44,true,3c938eee-4d04-49ea-abfd-0e10847817e2,2025-08-17T07:19:00Z,admin,2025-08-17T07:19:00Z,jkim
53de87d0-38ef-40e2-a5b2-40541cb6f259,MB-LV-67586,Cooling Short Pump,Filter,KG,29.25,25,33,false,805a5e4c-32c9-4678-8928-59f2503b8b59,2026-04-07T09:45:00Z,mgarcia,2026-04-07T09:45:00Z,admin
2b5bcd76-0f4f-4419-a2af-5bd49198787a,MB-AR-26179,Body Alone Pump,Engine,M,806.11,10,40,false,8304f98c-97a4-453e-88c1-4e89b40d9b34,2026-04-17T13:43:00Z,lchen,2026-04-17T13:43:00Z,admin
f9415261-61c2-4aa3-ae6b-3a95af08daed,MB-XG-53773,Cooling Rich Sensor,Engine,EA,253.63,30,98,true,50ea1592-2fcd-44f1-8676-b273912807cf,2026-04-26T01:30:00Z,p.rossi,2026-04-26T01:30:00Z,lchen
ba798a88-e134-4615-b914-7d0d3229df06,MB-RM-58506,Transmission Can Sensor,Transmission,KG,598.91,22,49,true,f5d93936-4e0d-479f-b56f-ec77e0b45c64,2026-02-20T08:25:00Z,jkim,2026-02-20T08:25:00Z,p.rossi
f075bd52-f7ab-416e-b691-122e7efe58da,MB-DY-71390,Suspension Goal Kit,Electrical,L,238.64,42,77,true,e0fcded3-577c-436d-908c-5dbb9210b941,2026-05-21T13:53:00Z,admin,2026-05-21T13:53:00Z,asharma
