ID,pr_ID,part_ID,requiredQty,supplier_ID,estimatedPrice
12d79154-1843-452e-9c80-14fb51369792,a3ba1c52-783d-4c8c-8ecd-fe63a5ee4277,b8ad8d43-3dea-496b-afb9-7724716b30f1,47,9045530a-97c5-42e6-9139-eed7f7a73da5,826.66
9aa1a891-163d-4c0e-91e3-72a148dcda49,7ce3dc60-e4db-4049-8ec8-e5803e09f7e2,093912cf-ab6c-460d-ac4f-9fc1d34892ae,248,0a983753-985a-40a3-b68d-f473068521a0,296.11
a7f3cf1e-09f2-4711-9d84-7455099fed72,8754985e-cef1-4fe3-9a70-39ca77f1e016,debc1375-1aa5-420b-b921-84e3a43ca39c,103,9045530a-97c5-42e6-9139-eed7f7a73da5,370.56
fd0a355e-5f3a-4032-8f5d-a8bd2dc55c50,846f7dce-2795-4fba-bc47-ef5130a59037,f9415261-61c2-4aa3-ae6b-3a95af08daed,275,572f29ae-1ec4-4f46-8275-02c314223a70,261.99
39a43c47-442a-4431-80cb-1d2f4bf36273,9dcb667d-c31e-47b1-b144-3e09e5afe3ed,efd0389e-7297-4b7b-bf52-5c8fb100928b,125,0ee4a7b6-42bc-4a6e-ac4a-625c47299de4,805.62
47317cc4-474e-4956-b686-5e559b38654b,821051f9-c46f-44cc-bb24-72da08b6c485,c18e95af-f516-490d-bd1c-54c53ace05f2,50,ac358f4d-c1e8-48a9-b789-fc94923fe6a9,170.88
469a9cc3-a3a4-4dc0-a7a0-4c19fe2b5f01,8754985e-cef1-4fe3-9a70-39ca77f1e016,bc9bf8d8-a6f5-4994-9916-059e119d502a,74,50ea1592-2fcd-44f1-8676-b273912807cf,524.19
93a4d9b1-3b21-4a41-a3e4-d94f4a8f01d2,924eb21c-9642-4e62-a9f3-0d750f29731b,6263f51e-ad28-43b5-8893-45ebd945c089,96,54ac231d-251a-47d6-b22c-2cc991cbeede,800.66
2a2606f1-94f4-4584-a695-cc7523e05e64,1f0f1faa-6089-4269-8d15-887744298768,b51b6aa7-f148-41c9-bd4d-8d578dfcfd94,182,5ac75889-b6ed-468a-acb9-66e94b80d4e5,39.81
f4d23e6d-471e-4307-8d55-2e4de0efeb05,63496536-4a17-4733-9d7c-1459e8466668,53de87d0-38ef-40e2-a5b2-40541cb6f259,33,5ac75889-b6ed-468a-acb9-66e94b80d4e5,228.63
