part_ID,location_ID,quantityOnHand,reorderLevel,lastMovementAt,createdAt,createdBy,modifiedAt,modifiedBy
0946819a-9285-487f-8ae5-4e23616154b8,dc7812b7-28e8-4668-9c9f-8ad43ab36d53,232,33,2026-08-06T00:17:00Z,2026-04-14T06:53:00Z,mgarcia,2026-08-18T11:08:00Z,p.rossi
89b46b97-cd1d-4acd-bbc4-e1dc8ec7e2e2,aee88716-e254-467c-922e-71ac3778bde9,317,45,2026-08-17T04:46:00Z,2026-04-30T08:59:00Z,p.rossi,2026-08-26T03:08:00Z,system
695ef300-0aae-4153-9d16-3f0b9157b4f9,7420b029-22ee-4015-94d4-fb873fa6ca32,484,12,2026-08-18T08:53:00Z,2026-06-29T19:58:00Z,jkim,2026-08-24T06:52:00Z,system
35087f29-0497-45f7-a397-61ca16ef1319,51a89c75-4ec8-4de9-a1dd-2d371acf279f,380,56,2026-08-23T10:19:00Z,2025-11-24T10:23:00Z,jkim,2026-08-20T04:34:00Z,mgarcia
97982bf8-f2bd-4c95-93b7-32dd79324367,51a89c75-4ec8-4de9-a1dd-2d371acf279f,486,25,2026-07-31T12:54:00Z,2026-05-08T09:32:00Z,p.rossi,2026-08-22T06:03:00Z,p.rossi
13305991-e380-4e25-81ec-5e7f956f046d,759c807f-812b-496b-ae95-f989c539d42f,495,17,2026-07-28T09:55:00Z,2026-02-05T15:48:00Z,p.rossi,2026-08-24T03:20:00Z,lchen
315e2d57-5f6e-46c7-9b91-0cc9a8e00211,759c807f-812b-496b-ae95-f989c539d42f,402,46,2026-08-21T21:07:00Z,2026-03-10T16:52:00Z,admin,2026-08-19T17:23:00Z,asharma
753ba143-fcb4-4ad5-aaac-4c560ce33ebe,bed2f070-2299-4ba2-aaf8-e0814575c541,141,19,2026-08-23T06:44:00Z,2026-06-13T05:00:00Z,admin,2026-08-25T20:18:00Z,admin
315e2d57-5f6e-46c7-9b91-0cc9a8e00211,4576857b-c5ee-4fe7-9ba9-832e5145de67,403,25,2026-08-09T13:59:00Z,2026-08-20T12:10:00Z,asharma,2026-08-23T22:52:00Z,p.rossi
b8ad8d43-3dea-496b-afb9-7724716b30f1,fe17044a-0a91-4c99-9628-c7c2c76f5905,243,38,2026-08-03T12:28:00Z,2026-06-30T00:56:00Z,lchen,2026-08-26T09:28:00Z,asharma
74be4fc7-6bdb-4dbb-b4f6-9e8fe5fceb29,9c009766-f0d1-4133-8643-8736c78c3b1a,329,11,2026-08-26T08:06:00Z,2025-12-04T14:31:00Z,system,2026-08-21T02:54:00Z,system
093912cf-ab6c-460d-ac4f-9fc1d34892ae,bc4fa1f5-5dbf-4e32-aee6-34d3cd4071c4,75,14,2026-08-23T15:21:00Z,2026-07-17T13:22:00Z,p.rossi,2026-08-18T06:15:00Z,mgarcia
8458ecb9-6dde-4a49-a9cf-6d7391e3bf03,2007bcd8-2427-419a-b2d1-c4e296ae698e,258,48,2026-08-14T20:10:00Z,2025-11-29T14:31:00Z,p.rossi,2026-08-26T03:19:00Z,admin
534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,bc95eabc-2f70-4d11-852f-fe993c45d29e,116,36,2026-08-17T09:35:00Z,2026-01-19T09:04:00Z,system,2026-08-26T13:33:00Z,mgarcia
0a3030a0-4d5e-48ff-9181-ea3dcc1e7218,51a89c75-4ec8-4de9-a1dd-2d371acf279f,242,14,2026-08-25T21:55:00Z,2026-06-10T02:01:00Z,system,2026-08-26T00:13:00Z,mgarcia
ba798a88-e134-4615-b914-7d0d3229df06,9700af2f-cafa-4d98-9f40-e1f13151b649,287,31,2026-08-06T20:34:00Z,2026-07-28T05:25:00Z,mgarcia,2026-08-17T10:05:00Z,p.rossi
355edc4b-7ed7-4d11-b7d2-a0c3dabc64cd,19dae37a-da1c-418a-9f78-2ce52348d8ca,295,42,2026-08-21T19:18:00Z,2026-03-21T12:54:00Z,system,2026-08-24T20:38:00Z,admin
534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,51a89c75-4ec8-4de9-a1dd-2d371acf279f,115,37,2026-07-31T06:11:00Z,2026-06-30T15:24:00Z,admin,2026-08-18T04:17:00Z,p.rossi
534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,621dd3fb-a220-43f8-8817-cb2361ee66f3,139,54,2026-08-03T14:02:00Z,2026-04-13T23:49:00Z,mgarcia,2026-08-22T23:49:00Z,admin
f075bd52-f7ab-416e-b691-122e7efe58da,322c1e37-016e-43cb-bd18-5b1321d9c55a,379,50,2026-08-27T21:13:00Z,2026-02-03T21:51:00Z,lchen,2026-08-24T11:34:00Z,system
a752a8cb-1a42-448e-9f41-11467a428069,787fb9ac-b66a-4013-9d0e-600316db08a4,166,59,2026-07-28T05:22:00Z,2026-02-19T14:14:00Z,jkim,2026-08-27T19:50:00Z,admin
74be4fc7-6bdb-4dbb-b4f6-9e8fe5fceb29,759c807f-812b-496b-ae95-f989c539d42f,338,37,2026-08-12T04:32:00Z,2026-07-17T15:32:00Z,system,2026-08-23T17:12:00Z,lchen
f9415261-61c2-4aa3-ae6b-3a95af08daed,e0944a13-78fc-47e7-997b-ca9b53044bc6,347,53,2026-08-09T08:27:00Z,2026-01-19T20:42:00Z,p.rossi,2026-08-23T22:46:00Z,system
390632f6-1a4d-4528-9454-11af6a78fb67,759c807f-812b-496b-ae95-f989c539d42f,484,23,2026-08-03T19:12:00Z,2026-08-24T17:41:00Z,mgarcia,2026-08-23T13:53:00Z,jkim
25431261-a66a-47d4-a04a-d39cf259d212,00cd03b3-6d69-4191-afdc-1ec2d368ab67,272,55,2026-08-20T07:25:00Z,2026-05-30T19:36:00Z,admin,2026-08-17T12:56:00Z,system
97982bf8-f2bd-4c95-93b7-32dd79324367,00cd03b3-6d69-4191-afdc-1ec2d368ab67,39,30,2026-08-09T10:24:00Z,2026-08-18T09:02:00Z,system,2026-08-17T10:42:00Z,jkim
0946819a-9285-487f-8ae5-4e23616154b8,621dd3fb-a220-43f8-8817-cb2361ee66f3,485,49,2026-08-13T01:02:00Z,2026-03-14T18:09:00Z,mgarcia,2026-08-26T10:06:00Z,jkim
897f070f-bc4f-4fae-bc2b-24e77704addb,00cd03b3-6d69-4191-afdc-1ec2d368ab67,202,29,2026-08-04T13:46:00Z,2026-02-03T07:55:00Z,mgarcia,2026-08-25T21:28:00Z,p.rossi
f9415261-61c2-4aa3-ae6b-3a95af08daed,fe17044a-0a91-4c99-9628-c7c2c76f5905,397,32,2026-08-16T00:08:00Z,2025-12-09T17:03:00Z,p.rossi,2026-08-25T16:54:00Z,asharma
0a3030a0-4d5e-48ff-9181-ea3dcc1e7218,60460ed3-b012-49a2-8d26-bd7a6d487ca6,389,58,2026-08-07T21:49:00Z,2026-05-31T04:51:00Z,admin,2026-08-17T08:31:00Z,admin
457f426f-13c2-48a4-ac7c-793a651b6225,4d877418-6985-4c1e-bc05-84556798ae0e,451,46,2026-08-07T03:21:00Z,2026-01-10T02:01:00Z,mgarcia,2026-08-17T13:51:00Z,system
01bcdde8-4496-4eb6-a00f-5285b11dfc91,004296f6-f720-49bf-9ec4-28edc4a82da7,407,27,2026-08-09T22:38:00Z,2026-01-13T03:41:00Z,lchen,2026-08-26T14:31:00Z,system
97982bf8-f2bd-4c95-93b7-32dd79324367,759c807f-812b-496b-ae95-f989c539d42f,330,15,2026-08-08T04:28:00Z,2026-02-20T14:56:00Z,system,2026-08-20T05:25:00Z,admin
97982bf8-f2bd-4c95-93b7-32dd79324367,c0e22fb4-3407-4048-acc6-865053730c6c,164,48,2026-08-12T07:51:00Z,2025-11-08T03:48:00Z,jkim,2026-08-20T20:09:00Z,admin
a752a8cb-1a42-448e-9f41-11467a428069,eb366403-27af-4380-9d74-800a53ab8081,20,25,2026-08-05T09:32:00Z,2025-12-12T03:49:00Z,lchen,2026-08-19T04:50:00Z,mgarcia
89b46b97-cd1d-4acd-bbc4-e1dc8ec7e2e2,19dae37a-da1c-418a-9f78-2ce52348d8ca,173,53,2026-08-08T22:10:00Z,2026-02-10T10:11:00Z,p.rossi,2026-08-17T13:56:00Z,mgarcia
2b5bcd76-0f4f-4419-a2af-5bd49198787a,9700af2f-cafa-4d98-9f40-e1f13151b649,370,52,2026-07-28T04:05:00Z,2026-02-11T14:44:00Z,asharma,2026-08-22T21:23:00Z,p.rossi
f075bd52-f7ab-416e-b691-122e7efe58da,e0944a13-78fc-47e7-997b-ca9b53044bc6,339,35,2026-08-23T04:15:00Z,2026-03-22T03:16:00Z,jkim,2026-08-23T06:36:00Z,p.rossi
a752a8cb-1a42-448e-9f41-11467a428069,4576857b-c5ee-4fe7-9ba9-832e5145de67,343,37,2026-08-11T12:59:00Z,2025-12-01T21:19:00Z,mgarcia,2026-08-23T18:47:00Z,mgarcia
25431261-a66a-47d4-a04a-d39cf259d212,60460ed3-b012-49a2-8d26-bd7a6d487ca6,39,28,2026-07-31T20:28:00Z,2026-05-04T19:51:00Z,admin,2026-08-19T00:04:00Z,lchen
