ID,poNumber,supplier_ID,pr_ID,status,s4POId,createdAt,createdBy,modifiedAt,modifiedBy
8db4fcb0-1c3c-4258-8ff5-e59bb3dd1e75,PO-4000,385a8512-38b6-4ab4-a4f7-cb03aaee4395,63b4af4e-8e32-42cb-aee4-72a92e27cfb8,OPEN,4569195194,2026-06-26T22:24:00Z,mgarcia,2026-06-26T22:24:00Z,system
2112318d-e19b-443e-9d1b-d89a76c51e51,PO-4001,805a5e4c-32c9-4678-8928-59f2503b8b59,a3ba1c52-783d-4c8c-8ecd-fe63a5ee4277,SENT_TO_S4,4592071195,2026-07-20T10:16:00Z,system,2026-07-20T10:16:00Z,admin
c7b9bd4b-f8cd-494b-8320-90f30de9c308,PO-4002,0a983753-985a-40a3-b68d-f473068521a0,7959623a-82c6-4d7a-b08c-008fd4e5f8b7,SENT_TO_S4,4553627409,2026-08-12T01:52:00Z,p.rossi,2026-08-12T01:52:00Z,system
a38226ad-0142-4fa5-be6b-c8de722ed6f9,PO-4003,e2b1dd94-f7d8-42ce-af93-925c8feba175,47cb59db-2c4c-46ff-8b2d-dd9624e85ea2,SENT_TO_S4,4555946354,2026-04-15T11:40:00Z,lchen,2026-04-15T11:40:00Z,mgarcia
cbd770ac-25e0-4493-83c2-03dba99ffbb7,PO-4004,cd414ac6-9003-4640-a82c-be0a40a4e4f8,4742bfab-28fc-4acd-b4ff-bea856b3c878,RECEIVED,4584905122,2026-06-21T04:30:00Z,mgarcia,2026-06-21T04:30:00Z,asharma
87fb4a6f-4adb-4b28-afe6-1d548d79e1c3,PO-4005,805a5e4c-32c9-4678-8928-59f2503b8b59,27f09715-477d-4662-98d4-4ddf78500573,RECEIVED,4574398125,2026-06-12T14:15:00Z,mgarcia,2026-06-12T14:15:00Z,lchen
d38a397f-2da3-4cf5-bb2c-1f5c5aa1aa93,PO-4006,5ac75889-b6ed-468a-acb9-66e94b80d4e5,55a538d3-a211-4bac-ba68-ec89c729a107,CANCELLED,4562953249,2026-06-18T14:53:00Z,admin,2026-06-18T14:53:00Z,mgarcia
c81143f0-2f9a-4106-997e-6b897e6f6f0d,PO-4007,cda73d18-4ab0-481c-934b-44f568638a75,924eb21c-9642-4e62-a9f3-0d750f29731b,RECEIVED,4569374716,2026-07-21T14:58:00Z,p.rossi,2026-07-21T14:58:00Z,mgarcia
163b2a83-3fb3-45e6-a90a-4b7902e543a2,PO-4008,48c1838e-0ef1-4a4c-a31e-bca7b747bb66,df190225-f23f-4b74-b247-d28a77b1755c,SENT_TO_S4,4546456416,2026-04-27T17:48:00Z,asharma,2026-04-27T17:48:00Z,jkim
28a79d26-7ffb-41fb-8523-1cd8a23dc5f8,PO-4009,0377357c-978a-4046-a7d2-c6fd39745a1c,821051f9-c46f-44cc-bb24-72da08b6c485,PARTIALLY_RECEIVED,4595623471,2026-03-30T16:45:00Z,asharma,2026-03-30T16:45:00Z,jkim
22ebd8b1-f067-45be-ad75-6dd8faf283c4,PO-4010,a5b2f72d-9e5b-4601-b872-1fd43fe1d402,ab4f7e49-69b2-4aa0-aba1-b1494a02f2d2,PARTIALLY_RECEIVED,4510695441,2026-08-02T10:39:00Z,lchen,2026-08-02T10:39:00Z,asharma
fb539d11-2e9a-4189-b145-243c189ff993,PO-4011,a5b2f72d-9e5b-4601-b872-1fd43fe1d402,a0182085-f3ac-4925-9b7b-b305c1c3d86e,PARTIALLY_RECEIVED,4548553376,2026-05-15T03:01:00Z,mgarcia,2026-05-15T03:01:00Z,mgarcia
f6451cf2-6a54-4ef3-bf2b-0517b1d9cd5b,PO-4012,5ac75889-b6ed-468a-acb9-66e94b80d4e5,be8b50a6-6787-459a-a3a8-a13e0686790b,SENT_TO_S4,4515006085,2026-08-12T21:19:00Z,asharma,2026-08-12T21:19:00Z,system
e300a29b-65f8-4bdf-8dae-dd53224cc650,PO-4013,2d8d45ab-3403-4be5-8a0e-cb6eb36975e0,27f09715-477d-4662-98d4-4ddf78500573,PARTIALLY_RECEIVED,4548851599,2026-07-13T22:07:00Z,jkim,2026-07-13T22:07:00Z,jkim
d1ad6c70-7222-40c2-ba5a-f0485ac898d7,PO-4014,e0fcded3-577c-436d-908c-5dbb9210b941,2fe51375-3efa-4ca8-bfd7-09f7c3fc8e57,RECEIVED,4570981700,2026-06-12T05:22:00Z,p.rossi,2026-06-12T05:22:00Z,lchen
