ID,alertType,part_ID,location_ID,message,severity,isResolved,createdAt,createdBy,modifiedAt,modifiedBy
1ae71ed7-3095-443a-bfe5-df5b414a7a96,REORDER,13305991-e380-4e25-81ec-5e7f956f046d,bc95eabc-2f70-4d11-852f-fe993c45d29e,Way main difficult case baby such big side.,MEDIUM,false,2026-08-03T02:33:00Z,system,2026-08-03T02:33:00Z,mgarcia
3f01eaac-a0e4-434e-86a1-41e739ea6dc5,SYSTEM,74be4fc7-6bdb-4dbb-b4f6-9e8fe5fceb29,b1da6c9d-61e9-49c2-b3fa-4767b513979f,Also from short capital heavy class story side speak close.,MEDIUM,false,2026-07-30T19:58:00Z,system,2026-07-30T19:58:00Z,mgarcia
1e15f6d6-aade-4186-92b0-2cc1f68cef33,SYSTEM,051dae6d-d352-4b01-ab2c-d08df04ebfc6,759c807f-812b-496b-ae95-f989c539d42f,Analysis hair rest wide particular sell six doctor dream.,LOW,false,2026-07-27T10:04:00Z,system,2026-07-27T10:04:00Z,system
1654ff65-285d-4111-9d78-7b10e31daa3f,SYSTEM,897f070f-bc4f-4fae-bc2b-24e77704addb,3a43ca38-6b24-43ed-a264-c0a776a50297,Tough create question now key show sing me industry.,LOW,false,2026-08-19T10:48:00Z,system,2026-08-19T10:48:00Z,admin
393ad497-e33e-4f87-93ea-345d1eb6244f,SYSTEM,25431261-a66a-47d4-a04a-d39cf259d212,e0944a13-78fc-47e7-997b-ca9b53044bc6,Stage soon catch economic political them.,HIGH,false,2026-07-13T12:30:00Z,system,2026-07-13T12:30:00Z,mgarcia
3ea51c83-e893-4ace-9aae-6b530895af58,SYSTEM,753ba143-fcb4-4ad5-aaac-4c560ce33ebe,621dd3fb-a220-43f8-8817-cb2361ee66f3,Various represent middle by base civil last message store begin.,HIGH,true,2026-08-16T23:40:00Z,system,2026-08-16T23:40:00Z,admin
58c6710d-fb7a-49cd-96ec-8f84b5a6afbd,SYSTEM,753ba143-fcb4-4ad5-aaac-4c560ce33ebe,787fb9ac-b66a-4013-9d0e-600316db08a4,Stage this us increase how hear history.,LOW,true,2026-07-28T07:38:00Z,system,2026-07-28T07:38:00Z,p.rossi
ef7e6fcc-02e6-4629-b58d-4e8c3c0e8b5e,LOW_STOCK,753ba143-fcb4-4ad5-aaac-4c560ce33ebe,322c1e37-016e-43cb-bd18-5b1321d9c55a,Heart agreement us stuff practice.,CRITICAL,false,2026-08-12T15:26:00Z,system,2026-08-12T15:26:00Z,admin
76d29815-0824-461f-9821-58fa9ca3d3f2,REORDER,debc1375-1aa5-420b-b921-84e3a43ca39c,f865d5fb-7c80-46a8-9a28-cabbfa502eaa,Case expert stop receive catch relationship.,HIGH,false,2026-07-04T18:49:00Z,system,2026-07-04T18:49:00Z,jkim
61d4014f-e990-44ae-84e0-05c3dd629eff,SYSTEM,457f426f-13c2-48a4-ac7c-793a651b6225,e69805a1-5c4e-4512-8c7a-f4c98fc43ced,Past town affect democratic change vote participant institution simply.,MEDIUM,false,2026-07-13T01:38:00Z,system,2026-07-13T01:38:00Z,lchen
fea7a112-5ca6-4acf-8c4c-40ae44768d6f,LOW_STOCK,53de87d0-38ef-40e2-a5b2-40541cb6f259,759c807f-812b-496b-ae95-f989c539d42f,Feeling answer information soldier lead book toward.,MEDIUM,false,2026-08-08T18:29:00Z,system,2026-08-08T18:29:00Z,asharma
edbd247a-1e23-4513-b2c1-3e2115a572e9,LOW_STOCK,a752a8cb-1a42-448e-9f41-11467a428069,b1da6c9d-61e9-49c2-b3fa-4767b513979f,Movie place offer responsibility fact ability good number cost property.,MEDIUM,true,2026-08-26T07:30:00Z,system,2026-08-26T07:30:00Z,mgarcia
825ecbb6-ce2c-4e93-924b-d1326412e528,OVERSTOCK,355edc4b-7ed7-4d11-b7d2-a0c3dabc64cd,621dd3fb-a220-43f8-8817-cb2361ee66f3,Window attack moment medical write never hospital like player wonder.,MEDIUM,false,2026-07-13T18:02:00Z,system,2026-07-13T18:02:00Z,p.rossi
8d7643a3-e8ee-412c-8c48-9a5d899235e5,LOW_STOCK,e8a0cd7e-4ae2-41f2-a138-5626f31bc4df,51a89c75-4ec8-4de9-a1dd-2d371acf279f,Section ground attack drop price billion old.,LOW,false,2026-06-30T19:11:00Z,system,2026-06-30T19:11:00Z,p.rossi
